index,company,blurb,location,field,joined,followers
0,_1': '<div class=,"ss=""with_data dir--tags__show file--results _a _jm"" data-max_page=""451"" data-_tn=""tags/show/results""><div class="" dir--tags__show file--row _a _jm"" data-_tn=""tags/show/row""><div c",\n<div,\n<div,<di _,tags_
1,Rubikloud,Retail Analytics ,Toronto,Cloud Data Services,Aug 1,110
2,KeyMe,Don&#39;t get locked out again.  We make it easy to get a key or a locksmith,New York City,Robotics,Jun 1,160
3,Metromile,Customizable pay-per-mile car insurance so you can save,Tempe,Insurance,Jun 1,292
4,Quid,Turn text into context with Quid&#39;s one-of-a-kind analytic software,San Francisco,Data Visualization,Oct 1,470
5,Gradberry,Curated technical talent via code analysis (YC W15),San Francisco,Artificial Intelligence,Mar 1,147
6,kwikdesk,Powering Secure &amp; Intelligent Data,Ireland,Communications Software,Nov 1,40
7,Kite.com,Kite is an AI copilot that helps programmers write code,San Francisco,Information Services,Apr 1,201
8,Symphony AyasdiAI,Artificial intelligence for the enterprise. A new generation of solutions for financial services,Palo Alto,Data Visualization,Jan 1,124
9,Directly,Resilient Customer Support - Directly uses the right mix of automation &amp; human support,San Francisco,Messaging,Jun 1,906
10,Auro,Autonomous Shuttles for Transportation Within Campuses,Santa Clara,Robotics,Jul 1,172
11,Leap Motion,Reach into virtual reality with your bare\xa0hands,San Francisco,Augmented Reality,Mar 1,1518\
12,B12,Human-assisted AI helping businesses grow online,New York City,Small and Medium Businesses,Aug 1,332
13,Haiku Deck,"Mobile-First, Cloud-based Presentations 10x faster, 10x more beautiful",Seattle,Productivity Software,Jul 1,56
14,"Ironclad, Inc.",Powering the world’s contracts with products that legal teams love,San Francisco,Consulting,Oct 1,121
15,Rise Art,"Contemporary Art, Hand-Picked by Experts",London,Marketplaces,Jul 1,309
16,Lucid,#1 Destination For 3D Photo/Video Sharing ,Santa Clara,Consumer Electronics,Oct 1,417
17,Pit.AI Technologies,The AI-powered hedge fund charging no management fees,San Jose,Hedge Funds,Mar 1,87
18,Maestro,"White label platform for enterprise live streamers to own, engage, and monetize audiences",Los Angeles,Video Streaming,Mar 1,124
19,ROSS Intelligence,Siri for the law. We provide cited answers to natural language legal questions,Palo Alto,Legal,Jan 1,197
20,GumGum,GumGum is an artificial intelligence company with expertise in computer vision,Santa Monica,Computer Vision,Jul 1,226
21,MindMeld,Intelligent Conversational Interfaces Powered by AI &amp; Natural Language Processing,San Francisco,Artificial Intelligence,Oct 1,569
22,RadiumOne,,San Francisco,Mobile Advertising,Feb 1,76
23,Bellabeat,"The future of health care lies in prevention, not correction",San Francisco,Artificial Intelligence,Mar 1,336
24,LawPal,Conversational search AI for Law ,San Francisco,Legal,Dec 1,230
25,Hive,Full-stack deep learning platform,San Francisco,Computer Vision,Dec 1,1037\
26,Amitree,"Stay organized, stay on track right in your inbox",San Francisco,Productivity Software,Nov 1,187
27,NextUser,"Platform with Analytics, Personalization &amp; OmniChannel",San Francisco,Developer APIs,Apr 1,95
28,Boxfish,AI Platform for Entertainment Data,Palo Alto,Entertainment Industry,May 1,83
29,Bluecore,Transform shoppers into lifetime customers,London,Retail Technology,Jun 1,315
30,Matterport,Matterport is the leading spatial data company digitizing and indexing the built world,Sunnyvale,Computer Vision,Oct 1,564
31,Swoop,Swoop is an AI company improving patient outcomes and lowering healthcare costs,Boston,Artificial Intelligence / Machine Learning,Jan 1,48
32,PandaWhale,Actionable Advice That Helps People Make Better Money Decisions,Sunnyvale,Finance Technology,May 1,773
33,FiscalNote,Fiscalnote changes the way you mitigate risk and manage the issues that impact your organization,Washington DC,Data Visualization,Jun 1,534
34,Jetlore,"Turn consumer behavior into structured, actionable data about your customers",San Mateo,Predictive Analytics,May 1,630
35,Diffbot,Tap into accurate data from a single page or the entire web with Diffbot AI,Menlo Park,Semantic Search,Nov 1,425
36,Reonomy,Reonomy creates intuitive products designed to help CRE professionals achieve success,New York City,Information Services,Feb 1,302
37,ReSci (Retention Science),AI Personalization &amp; Marketing Software,Santa Monica,Predictive Analytics,Jun 1,811
38,Synthace,Empowering biologists with flexible programming and control of lab automation,Cambridge,Synthetic Biology,Oct 1,229
39,Incredible Labs,"Creators of Donna, a mobile personal assistant that anticipates your needs",San Francisco,Artificial Intelligence,Jan 1,261
40,Converge Venture Partners,early stage vc fund; capital and connections for tech entrepreneurs,Boston,Cloud Computing,Jul 1,136
41,Stylitics,Cloud-based SaaS platform for retailers to automate &amp; distribute visual content at scale,New York City,Retail Technology,Jun 1,113
42,Humanoid,Labor in the Cloud,San Francisco,B2B,Jan 1,576
43,Vidado,Delivering AI software capable of understanding even the most illegible handwriting,Oakland,Data Integration,Feb 1,728
44,Evercontact,ACQUIRED BY ONE MORE COMPANY INC,Paris,SaaS,Jan 1,224
45,Catchpoint,Every experience matters,Boston,Application Performance Monitoring,Jan 1,161
46,Any.do,The task completion company,San Francisco,Productivity Software,Oct 1,79
47,Topicmarks,Auto-organize your cloud documents meaningfully,San Francisco,Information Services,Nov 1,108
48,Volara,Voice-hub for Hospitality,New York City,Hospitality,Jun 1,65
49,Kid Koderz City,Technology Education Summer Camps,Toronto,Technology,Jun 1,26
50,Nautilus Labs,"Nautilus provides predictive analytics to reduce fuel, optimize fleet performance, &amp; maximize ROI",New York City,Shipping,Nov 1,122
51,Descartes Labs,Create advantage through scientifically validated analytics,Santa Fe,Computer Vision,Apr 1,116
52,Hyperscience,The Automation Company,Sofia,Data Center Automation,Nov 1,1254\
53,Validere,Optimizing the oil and gas supply chain,Calgary,Commodities,Jul 1,95
54,Tact.ai,the first omnichannel AI-powered assistant for salespeople ,Redwood City,Artificial Intelligence,Mar 1,101
55,fuzzy.ai,Easy Machine Learning for Developers,San Francisco,Developer APIs,Dec 1,150
56,Fathom,deep learning to automate medical coding,San Francisco,Artificial Intelligence,May 1,544
57,Marble,Building and coding smart robots to assist you with varied tasks,San Francisco,Robotics,Nov 1,266
58,Shred Video,1-button video editing,San Francisco,Artificial Intelligence,Nov 1,242
59,BioBeats,Artificial Intelligence for Healthy Living,London,Artificial Intelligence,Mar 1,149
60,Sunlight,Unlock Potential,London,B2B,Oct 1,56
61,FloydHub (YC W17),Heroku for Deep Learning,San Francisco,Cloud Infrastructure,Mar 1,112
62,BIOS,A full-stack neural interface company,Cambridge,Neuroscience,Mar 1,61
63,Dataminr,The Leading AI Platform for Real-Time Event and Risk Detection,New York,Technology,Jan 1,234
64,SilverPush,Artificial Intelligence driven advertising for video content,Gurgaon,Artificial Intelligence,Dec 1,854
65,Sportsy,Mobile education and training for sports,Los Angeles,SaaS,Aug 1,432
66,Orion Labs,"Orion is the leader in communication &amp; automation for mobile, frontline workers",San Francisco,B2B,Mar 1,858
67,Mashgin,Reinventing the checkout experience,Palo Alto,Retail Technology,Feb 1,105
68,Bountiful,Farm better with actionable forecasting,San Francisco,Big Data Analytics,Feb 1,186
69,Golden,Mapping Human Knowledge,San Francisco,Knowledge Management,Feb 1,99
70,AppZen,The ai platform for modern finance teams,Tempe,Accounting,Apr 1,258
71,Neura,Increase User Engagement Through Context,Sunnyvale,Internet of Things,Apr 1,153
72,Wit.ai,Natural Language for the Internet of Things,Palo Alto,Artificial Intelligence,Feb 1,227
73,Comfy,"Comfy connects people, places, and systems through one intuitive workplace app",Oakland,Internet of Things,Nov 1,262
74,Petnet,Smarter Feeding for Healthier Pets,Los Angeles,Intelligent Systems,Jun 1,171
75,Quanergy Systems,Sensing the World in 3D with centimeter accuracy,Silicon Valley,Location Based Services,Jun 1,30
76,Rigetti Computing,Our quantum systems give you the power to solve the world’s most important and pressing problems,Berkeley,High Performance Computing,Jul 1,299
77,Clarifai,Everything you need to get started with computer vision AI models,Tysons,Visual Search,May 1,279
78,Scaled Inference,Intelligent Computing for All,Palo Alto,Artificial Intelligence,May 1,173
79,Zero Slant,"Automated Video News, Built from Social Media",San Francisco,Social News,Mar 1,757
80,mode.ai,AI Visual Bot for Conversational Shopping,Palo Alto,Visual Search,Sep 1,95
81,harvest.ai,Stop data theft before it happens,San Diego,Predictive Analytics,Sep 1,220
82,Paperspace,Powering next-generation workflows and the future of intelligent applications,Amsterdam,Cloud Infrastructure,Sep 1,294
83,Mona,The world&#39;s smartest personal shopping assistant (Techstars NYC &#39;15),Seattle,Mobile Commerce,Jul 1,56
84,test.ai,AI-Powered App Testing,Seattle,Developer Tools,Nov 1,120
85,Storytree,Create amazing products with your photos,San Francisco,Mobile Commerce,Jun 1,481
86,Juro,Supercharged contract automation,London,Legal Tech,Jan 1,88
87,JASK (now Sumo Logic),JASK is modernizing security operations to reduce organizational risk by improving human efficiency,Austin,Cyber Security,Sep 1,92
88,Kylie.ai (acquired),Automating Enterprise Conversations Through Cloning Technology,San Francisco,SaaS,Jan 1,180
89,Casetext,We empower attorneys to do their best work representing clients and fighting injustice,San Francisco,Crowdsourcing,Sep 1,733
90,Leanplum,Multi-Channel Customer Engagement. Build lasting and valuable relationships,Singapore,Messaging,Nov 1,643
91,Bidgely,AI-powered SaaS Company accelerating a clean energy future,Mountain View,Energy Efficiency,Dec 1,168
92,Figure Eight,The essential human-in-the-loop platform for data science teams,San Francisco,Big Data Analytics,Mar 1,409
93,Datatron,Enterprise AI Platform,San Francisco,Big Data,Dec 1,195
94,Scale AI,The API For Training Data,San Francisco,Developer APIs,May 1,183
95,Gridspace,"Giving the customers the power to capture, understand, and handle conversations in real-time",San Francisco,Speech Recognition,Nov 1,225
96,Axiom Zen,"We are the best parts of a startup, a venture capital firm, and an incubator",Vancouver,Product Design,Dec 1,609
97,Checkr,The only background check company using artificial intelligence and machine learning,San Francisco,Information Services,Aug 1,621
98,Versus,Machine &amp; User Generated Comparisons of Anything,Berlin,Online Shopping,Jan 1,102
99,GYANT,Siri for healthcare,San Francisco,Artificial Intelligence,Jun 1,80
100,Blueshift,AI Powered Customer Engagement,San Francisco,Personalization,Jul 1,121
101,Socratic (acq. Google),Homework in a snap,New York City,Artificial Intelligence,Apr 1,73
102,Cape Analytics,Helping customers elevate their underwriting and protect their business and property,Mountain View,Insurance,Nov 1,19
103,People.ai,"AI Platform for Data-Driven Sales and Marketing, YC S&#39;16",San Francisco,Intelligent Systems,Mar 1,251
104,Vidora,Think better. Think faster,San Francisco,Big Data,Oct 1,622
105,Atomwise,AI for drug discovery,San Francisco,Pharmaceuticals,Jun 1,109
106,Gorgias,Helping companies to generate additional revenue easily from your customer support,San Francisco,Productivity Software,Mar 1,137
107,RedCarpet.CASH,Data driven  Lending for  purchase finance and installments. ML based Credit Scoring,\n<div,Consumer Lending,Jan 1,110
108,Qloo,Qloo is the Cultural AI ,New York City,Developer APIs,Sep 1,113
109,CommitChange,Fundraising Platform for Nonprofits,\n<div,Nonprofits,Dec 1,193
110,UpGuard,We&#39;re protecting the world&#39;s data,Mountain View,Intelligent Systems,Mar 1,242
111,Veryfi (#YC W17),Software to Automate Construction Project Bookkeeping,San Mateo,Developer APIs,Mar 1,50
112,DISCO,"Speeding up review times, improving accuracy with advanced AI, and securing your data",Austin,Legal,Apr 1,58
